title,body,category,tags,tag1,tag2
Discussion Topic," Ethical and Legal Issues in Health Care  
Discussion Topic
In this week's DF, please discuss whether you would ever consider having an examination or procedures performed by a nurse practitioner rather than a physician? Why or why not, and under what circumstances?

At least 250 words, APA Format

 Required Textbook:Pozgar, G. (2021) “Legal and Ethical Essentials of Health Care Administration”, 3rdEdition, Burlington, MA: Jones & BartlettISBN: 978-1-284221794 or EBook: 978-1284055726 

Videos and sites
https://www.youtube.com/watch?v=tSwannzyJCE
https://www.ncsbn.org/policy-gov/npa-toolkit/npa.page
https://www.youtube.com/watch?v=aoRAnbmYLk4
",Operations Management,healthcare,,
Discussion: Policies and Prejudice," 
Provide an example of a social policy that promotes intolerance and social exclusion and describe situations where it was manifested. You may not use the same example as another student, so you will be able to view your classmates' posts before you post your example. Be sure to support your information with sources.
 

Contribute a minimum of 450 words to the initial post. It should include at least three academic sources, formatted and cited in APA.
",Psychology,PSY,,
Business  Finance - Operations Management Assignment,"Performance Improvement in Health Care
 
Assignment Content

Part 1
Now that you have read the information related to satisfaction surveys, you are aware of how essential a well developed customer satisfaction survey can prove in obtaining customer feedback. Use your new knowledge and life experience to identify a setting that you would be interested in developing a customer satisfaction survey for i.e., Nursing Home, Hospital, Managed Care, PACE Program, Ambulatory Care Facility or Physician's office tat . Draft a 10 question survey that could be utilized to obtain consumer, patient, resident member feedback at any of the settings.


Part 2
Develop hypothetical survey results and develop a plan of action for improvement based on the response to each survey question for example:


Do you believe that all Reception staff were courteous? Score = 60% Follow-up- Survey results will be reviewed with office staff. An in-service related to the importance of providing optimum customer service will be provided to all office staff. There feedback will be obtained and they will be given an opportunity to respond.


APA Format

Video's and sites:
https://www.medicare.gov/care-compare/?providerType=HomeHealth&redirect=true
https://www.youtube.com/watch?v=PaU1KgSefvs
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1463924/
https://www.youtube.com/watch?v=tylvc9dY400
",Operations Management,healthcare,,
8J,"
Given what you read in the required article. Complete a journal assignment that answers the following questions: (a) For organizational change to be successful, what role should a leader take in vision development? (b) How would you weave proactive and reactive elements into the planning and implementation of an organizational change effort? 
Submission, 3 paragraphs, APA 
",Operations Management,change,,
Week 7," 
Details of the Project:

Research and prepare a report on your selected (selection made in Week 2) current trend in the area of IT Security.
Prepare a 4-6 page paper in Microsoft Word using approved APA format. (1,000 word minimum)
The minimum page count cannot not include your Title page and Reference list.
Include a Title page, Reference list, introduction and concluding statement.
Include a detailed description of the topic.
Include information on technologies involved in your selected area of research.
Include information on future trends indicated in your selected area of research.
References (minimum 5 peer reviewed sources)
1"" Margins (top/bottom/sides).
Times New Roman or Arial font, in size 12.
Correct spelling and grammar.
APA formatting: Title page, in paragraph citations, and the Reference list.

At a minimum include the following:

- Detailed description of the topic
- Technologies involved
- Future trends
- References (minimum of 5)",Computer Science,APA,hacking,
BUS 499," 
Week 10 Assignment - Capstone
Overview
In this assignment, you are to use the same corporation you selected for the assignments in Weeks 3, 6, and 8. You will prepare an executive-level PowerPoint presentation that could be delivered to the board of directors.This assignment requires the use of three or more quality resources, including your textbook. Use any or all of the following resources to conduct research on the chosen corporation:

The corporation’s website.
Public filings from the Securities and Exchange Commission's Filings & Forms page.
Strayer University's online databases.
The Nexis Uni database.
Other credible sources, such as the corporation's annual report, will often provide insights that other resources may not include.
It is expected that you will use your textbook as a resource for this assignment.

Instructions:

Review the scoring guide (rubric) in the course guide before starting the assignment.
Download and save the Capstone Project Template [PPTX]. 
Use the template to Develop an 8-12 slide PowerPoint presentation with speaker notes and appropriate graphics. This presentation should be prepared for the board of directors of the corporation and is based only on your assignments from Weeks 3, 6, and 8, and the following:

Step 1: Create a SWOT analysis for the company to determine its major strengths, weaknesses, opportunities, and threats.Step 2: Based on the SWOT analysis, outline a strategy for the company to capitalize on its strengths and opportunities, and minimize its weaknesses and threats.Step 3: Discuss the various levels and types of strategies the firm may use to maximize its competitiveness and profitability.Step 4: Outline a communications plan the company could use to make the strategies you recommend above known to all stakeholders.Step 5: Assess efforts by the corporation to be a responsible (ethical) corporate citizen and the impact on the corporation's bottom line. Provide specific examples to support your response.
",Management,BUS,fin,
Discussion Topic," Electronic Spreadsheet Applications 

Module 2: Formatting Workbook Text and Data- Excel
 
Question/Topic:
So far you have covered two modules and learn a lot of new concepts. Which concept(s) did you have the most difficulty coming to grips with or understanding from these modules? What is your main take away from the modules that you would most definitely implement as needed when working with Excel?

At least 200 words. APA Format

",Management,EXCEL,,
Powerpoint on Business,"  
In this assignment, you are to use the corporation “Southwest Airlines”. You will prepare an executive-level PowerPoint presentation that could be delivered to the board of directors.
This assignment requires the use of three or more quality resources, including your textbook. Use any or all of the following resources to conduct research on the chosen corporation:

The corporation’s website.
Public filings from the Securities and Exchange Commission's Filings & Forms page.
Strayer      University's online databases.
The Nexis Uni database.
Other credible sources, such as the corporation's annual report, will often provide insights that other resources may not include.
It is expected that you will use your textbook as a resource for this assignment.

Instructions:

Use the template to Develop an 8-12 slide PowerPoint presentation with speaker notes and appropriate graphics.      This presentation should be prepared for the board of directors of the      corporation and is based only on your assignments from Weeks 3, 6, and 8,      and the following:

Step 1: Create a SWOT analysis for Southwest Airlines to determine its major strengths, weaknesses, opportunities, and threats.
Step 2: Based on the SWOT analysis, outline a strategy for  Southwest Airlines to capitalize on its strengths and opportunities, and minimize its weaknesses and threats.
Step 3: Discuss the various levels and types of strategies the firm may use to maximize its competitiveness and profitability.
Step 4: Outline a communications plan Southwest Airlines could use to make the strategies you recommend above known to all stakeholders.
Step 5: Assess efforts by Southwest Airlines to be a responsible (ethical) corporate citizen and the impact on the corporation's bottom line. Provide specific examples to support your response.

Use three or more quality sources, including your textbook, to support your writing. Choose sources that are credible, relevant, and appropriate. Cite each source listed on your source page at least one time within your assignment. (Note: Wikipedia and similar websites do not qualify as      academic resources)
",Management,business,management,
Psychology Assignment," Sex and Gender 

Research Projectt Content
Students, here is information about your upcoming research paperr. Topics should be selected from the topic choices outlined below, or if you do not see a topic you like, than an approved topic of your choice. Paperrs should be 3-4 pages in length not including your cover sheet, abstract and citation page. Paperrs should be created using APA format and include a minimum of 3 academic sources. 
(My view- I am male and married- with my husband and support women rights and empowerment) 
Topic Choices:

-Analyze gender-based violence in different countries
-Compare wage gap between the sexes in different countries
-What does it mean to be transgender?
-Discuss the empowerment of women
-Why are girls at greater risk of sexual violence and exploitation?
-Women as victims of human trafficking
-What can be done to make cities safer for women and girls?
-Gender discrimination in sports
-Lack of women having leadership roles
-Inequality between the sexes in work-family balance
-Top factors that impact inequality at a workplace
-What can governments do to close the gender gap at work?
-Sex discrimination in human resource processes and practices
-Gender inequality in work organizations
-Factors causing inequality between men and women in developing countries
-Work-home conflict as a symptom of inequality between men and women
-Why are mothers less wealthy than women without children?
-Forms of sex discrimination in a contemporary society
-Sex discrimination in the classroom
-Justification of inequality in American history
-Motherhood and segregation in labour markets
-Sex discrimination in marriage
-Can technology reduce sex discrimination?


 Course Materials Required Text or E-Book: Wood, Julia T. Gendered Lives. 13th ed. Cengage, 2018-19.ISBN: 978-111134648-5 ",Psychology,psychology,,
Theory comparison ,"TOPICS PICKED: 
Self-Care Theory - Dorothea Orem
Gayle M. Roux - Theory of Inner Strength in Women 

The following should be included:


An introduction, including an overview of both selected nursing theories
Background of the theories
Philosophical underpinnings of the theories
Major assumptions, concepts, and relationships
Clinical applications/usefulness/value to extending nursing science testability
Comparison of the use of both theories in nursing practice
Specific examples of how both theories could be applied in your specific clinical setting
Parsimony
Conclusion/summary
References: Use the course text and a minimum of three additional sources, listed in APA style

Separated into each heading:
Background of the theories
(Grand theory chosen)-
(Middle range theory chosen) -
 Philosophical Underpinnings
(Grand theory chosen)-
(Middle range theory chosen) -
Major assumptions, concepts, and relationships
(Grand theory -)
(Middle range theory -)
Clinical applications
(Hint: usefulness/value to extending nursing science testability)
(Grand theory-)
(Middle range theory -)
Application to nursing practice
(Hint: Comparison of how to use of your theories in nursing practice)
(Grand theory-)
(Middle range theory -)
Application to my practice
(Hint: Specific examples of how both theories could be applied in your specific clinical setting) 
Grand theory-
Middle range theory -
Parsimony
(Hint: how simple or complex are the theories?
Grand theory-
Middle range theory
Conclusion

",Nursing,nursing,MSN,
Criticism,"This assignment is something particular, you can find the discussion of week 2 attached in case you need it and the criteria discussed in that week are inside parentheses in the question. I also send you the rubric so that you can be guided by what you should do, I have been deducted points for not following the guidelines of the rubric. Thank you
Question: Using the criteria presented in week 2( Making judgement as to whether a theory could be adapted for use in research is very important.  Describe the internal and external criticism that is used to evaluate middle range theories.) , critique the theory of Self-Efficacy using the internal and external criticism evaluation process. 
Disccusion of week 2:Internal and external criticisms are essential when assessing middle-range theories for their adaptability and appropriateness for research by assessing the theoretical framework's logical coherence, empirical backing, and real-world significance through these criticisms.
When criticizing internally, the main focus is ensuring that a theory has logical consistency and internal coherence.  The assessment of the model involves analyzing its conceptual clarity and precision, logical connections between variables, and underlying theoretical suppositions (Risjord, 2019). One aspect of internal criticism is ensuring that theoretical propositions maintain internal validity by being logically sound and free from contradictions.   Scrutinizing conceptual definitions and logical implications of propositions along with internal structure is essential to detect any errors in logic or concept within a theory.
Assessing a theory's external validity and empirical support is what external criticism does. The examination evaluates the theory's effectiveness by testing its ability to apply to genuine conditions and explain or foresee events (Im, 2018). External criticism requires an assessment of a theory's empirical soundness, alignment with current knowledge, and capacity for creating testable predictions (Peterson et al., 2019). Researchers evaluate a theory by considering its consistency with past empirical research and its ability to account for various observations.   A lack of empirical backing or failure to account for critical empirical occurrences could make a theory less appropriate for research.
Internal and external criticisms are crucial for a complete evaluation of middle-range theories, as they are interdependent and indispensable.   The theory can be guaranteed to be logically consistent and internally valid by engaging in internal criticism. By subjecting theories to external critique, one can verify their empirical validity and relevance to practical situations (Peterson et al., 2019). Determining whether a theory can be adapted for research requires researchers to assess these aspects thoroughly. Inadequate internal coherence or external validity in theories may hinder the development of meaningful and applicable knowledge. To advance scientific understanding, researchers should choose theories with a solid foundation and a high likelihood of contribution.   A comprehensive evaluation process can help accomplish this task. ",Nursing,,,
Business Plan–Final,"Overview
At this point in the course, you have completed all the necessary sections of your business plan. Your task in this assignment is to create the final version of your plan. You will include all the previous assignments you have been working on and attach the financials.
The key to this assignment is to use the feedback you have received throughout the course to polish your plan to the point that you could confidently show it to investors and potential partners or customers. One new piece you will be including is a 1-2 page executive summary.
This assignment consists of two parts:

Your final business plan (an MS Word document).
Your final business plan financials (using the Business Plan Financials Excel Template).


Download the A4 Final Business Plan Template with All Headings Download A4 Final Business Plan Template with All Headings[DOCX]
Download the Sample Executive Summaries Download Sample Executive Summaries[PDF]

To successfully complete this assignment, you must attach both documents to the submission area as separate files and then click Submit.
Reminders and Notes

Your company, whether a startup company of your choosing or based on the snack food company scenario, will operate in a 100-mile radius from your home address. Your goal is to reach $1 million in sales by the end of the second year.
Be sure to follow the guidelines, whether you chose the snack food company scenario or the company of your choice:
    
Snack Food Company Guidelines [PDF] Download Snack Food Company Guidelines [PDF].
Company of Your Choice Guidelines [PDF] Download Company of Your Choice Guidelines [PDF].



Part 1: Business Plan—Final
Notes

The executive summary is a critical aspect of this assignment. Your ability to condense and highlight critical information about your chosen company to investors will determine whether they decide to invest in you and your company or not.
Chapter 4, ""The Executive Summary,"" pages 53-66, provides information about writing the executive summary. You may write either a synopsis or a narrative summary. Pay particular attention to the following:
    
Executive Summary Plan Preparation Forms on pages 58-61.
Sample Plans on pages 62-66.



Instructions
In MS Word, construct a 10-20 page business plan in which you:

Write a 1-2 page executive summary highlighting key aspects of each section of the business plan.
Incorporate feedback to produce a comprehensive business plan for the product or business. Specifically, you will be combining all of the previous assignments and revising them to build your business plan:
    
Week 3 Assignment: Company Overview and SWOT Matrix.
        
Be sure to include all the headings from the assignment.


Week 5 Assignment: Marketing Plan and Budget.
        
Be sure to include all the headings from the assignment; the budget part of this assignment will be addressed in Section 2.


Week 8 Assignment: Operations, Technology, Management and Organization, and Social Responsibility Plan (With Financials).
        
Be sure to include all the headings from this assignment; the financials part of this assignment will be addressed in Part 2.


The written section of the financials from the Week 8 discussion thread.
        
Be sure to include any financial information that will help to convince the investors.





Formatting
Format your assignment according to these requirements:
This course requires the use of Strayer Writing Standards (SWS). The library is your home for SWS assistance, including citations and formatting. Please refer to the Library site for all support. Check with your professor for any additional instructions.

Typed, double-spaced, using Times New Roman font (size 12), with one-inch margins on all sides.
You must include headings in your paper for each major topic.
Include a cover page containing the assignment title, your name, the professor's name, the course title, and the date. The cover page is not included in the required page length.
Include a source list page. All sources used must be listed in the source list page and have a corresponding in-text citation. Citations and references must follow SWS format. The source list page is not included in the required page length.
    
There is no minimum requirement for the number of resources used in this assignment.



Part 2: Business Plan Financials—Final
Using the Business Plan Financials Excel Template, incorporate feedback from previous submissions to produce a comprehensive set of business plan financials the business's first two years.

Be sure to refer to the appropriate guidelines for valuable information about how to complete the business plan financials section of your assignment:
    
Snack Food Company Guidelines [PDF] Download Snack Food Company Guidelines [PDF].
Company of Your Choice Guidelines [PDF] Download Company of Your Choice Guidelines [PDF].


Specifically, you will want review and make sure you've thoroughly incorporated feedback you received from:
    
Weeks 7 and 8 discussion threads.
Part 2 of the Operations, Technology, Management and Organization, and Social Responsibility Plan (With Financials).



Learning Outcomes
The specific course learning outcome associated with this assignment is:

Construct a business plan with an executive summary that justifies a clear concept, a management structure, a market need, competitive advantages, and financial projections.


",Operations Management,business,business plan,PLAN
IT501 discussion 10,"1- A 1,500-word, double-spaced  in MS Word/.docx on
The articles on Blockchain and the dangers of investing in Digital Currencies (provided in this week's course material hereabove) and your own research, and submit a two-page summary followed by your own opinion.  
You will use your textbook, the university digital library and online resources with proper citations.
Your paper must have three parts:

Review of source(s)
Opinion and commentary
Citations

2- A four (4) slide MS PowerPoint/.pptx Executive Presentation of your paper. Only four slides... remember to say more with less.",Computer Science,question,answer,
Themes & Theories of Psyc Week 3 Discussion," 

Review this week’s Learning Resources on psychodynamic theories.
Select one psychodynamic theory (e.g., psychoanalytic, psychosocial development) that interests you the most.
Locate a research article that includes the psychodynamic theory you selected.
Reflect on what you learned last week about the research-theory cycle. Think about how the theory was incorporated in the study and whether or not the findings provide evidence in support of the theory.

Post a response to the following:
Identify the psychodynamic theory you chose and briefly describe the study that included the theory. Then, explain how the psychodynamic theory was incorporated in the study. Be sure to include whether the research supported the theory, further informed theory, or did not support the theory.
Note: Support your postings and responses with specific references to the Learning Resources and any additional sources you identify using both in-text citations and references. It is strongly recommended that you include proper APA format and citations.",Psychology,psychology,forensic,
Doctoral Nursing Assessment,"Review the Marshall et. al. (2017) Reading Excerpt linked above.
What challenges to completion do you anticipate you will encounter in your doctoral program? What strategies for successful completion do you anticipate will be the most useful for you, and how will you work toward implementing these strategies to meet your goals?
.",Nursing,APA,,
Psychology Themes & Theories of Psyc Week 3 Assignment,"When you have a strong grasp of the basic tenets, strengths, and weaknesses of key theories of psychology, you can make an informed decision as to which theory or theories best apply in understanding a particular set of behaviors. By keeping a journal of sorts, you can document the characteristics of each theory as you learn about it. Your journaling will be a useful reference for you long after you complete this course. The Psychology Theories Template provides a matrix where you can record what you have learned about each theory.
For this Assignment, you will explore key concepts found in psychodynamic theories and begin your journaling of this week’s theories.
 
Begin populating the Psychology Theories Template related to this week’s theories—psychodynamic theories. As you begin populating your template, consider the following:

Identify who or what contributed to the development of the theory. Were there key researchers or seminal research that led to the theory?
Record whether the theory emphasizes nature (biology), nurture (environment), or both.
List the primary characteristics or features of the theory (its key tenets and concepts). Be sure to include if a particular period of life is emphasized.
List the noteworthy strengths and weaknesses of the theory.
(Optional) Include any notes that you find helpful in understanding and applying the theory, such as potential contemporary themes or fields of research in which the theory could be applied.
",Psychology,psychology,forensic,
NDQ5," 
You represent a dentist who is accused of performing an unnecessary root canal which went bad, resulting in the patient losing the tooth and having to get an implant. 
During settlement discussions, the dentist tells you he wants you to use certain information he claims he gleaned from the patient while he was under the anesthetic during the root canal procedure concerning the patient’s marital infidelity.  The dentist believes if you make it known to the other attorney, the plaintiff will end his case because he is a public figure with much to lose if the infidelity were to become known.  You have serious concerns the dentist is lying to you about what this claim. 
Can you (a) discuss this at all with opposing counsel?  (b) try to find a way to use this without directly talking about the plaintiff’s infidelity?  How do Model Rules 1.2, 1.4 and 4.1 interact here, if at all? ",Law,law,,
NA5," Pick a country of which you have very little knowledge and find out everything you can about negotiating in that country.  Write a brief paper (one page, single spaced should be sufficient – you can go to two pages, but please stop there) telling me some things you learned ",Law,law,,
art 4,"Watch this video, this video, and this video, and then respond to the prompts below (at least 200 words):
https://www.youtube.com/watch?v=yMUJB5aFvdo
https://www.youtube.com/watch?v=Q_6HAMtqW3Y
https://www.youtube.com/watch?v=ueHNZbQRsMs

In what ways was Nam June Paik's work 'futuristic,' 'ahead of its time,' or forward-thinking?
Does his art connect in anyways to the ancient art of Korea that we learned about this week? (If so, how? If not, what makes his work so different?)

Watch this video, this video, and this video about contemporary Japanese artist Takashi Murakami, then answer the questions below (at least 200 words):
https://www.youtube.com/watch?v=-YPOWBQAd1M
https://www.youtube.com/watch?v=sJEmGM1JS7k
https://www.youtube.com/watch?v=aHpkHugXoaM


According to Murakami, how does he ""make [his] Japanese identity"" through his art practice? Explain, giving examples from the videos.
What are some of the various sources (both Japanese and non-Japanese) that he draws inspiration from? 

---------
Respond to this discussion post::
In recent years the term ""cultural appropriation"" has been used to describe the act of borrowing elements of another culture of which one is not a part (for example, when Katy Perry wore a kimono for her performance at the American Music Awards in 2013).  This relates to ""Japonisme,"" the European fascination with Japanese art in the 1800s. One example of ""Japonisme"" is by Vincent van Gogh, who famously copied ukiyo-e prints by Japanese artist Ando Hiroshige (see example below). Please respond to the following prompts (at least 200 words):

Do you think that Japonisme is a form of ""cultural appropriation?"" Explain.
Why might an artist wish to copy, or borrow elements of another culture's art?
",Architecture and Design,Art,history,
Psychology Abnormal Behavior Week 3 Assignment,"To prepare:

Select one disorder from the “Trauma- and Stressor-Related Disorders” section of the DSM-5.
Search the Walden library and/or the internet for a minimum of 5 peer-reviewed articles related to the disorder that you selected.
Use the Literature Review Matrix found in this week’s Learning Resources to help you synthesize your articles for this Literature Review Assignment.
Use the APA Course Paper Template (APA 7) found in this week’s Learning Resources to complete your Assignment.

The Assignment (3–5 pages)
Synthesize the empirical literature you identified about the disorder you selected and address the following questions:

Describe the disorder you selected.
What are the DSM-5 criteria for the disorder you selected?
What are the forensic psychological aspects of this disorder? (e.g., how does it relate to criminal behavior, forensic assessment, criminal sentencing, and probation, etc.)
What are the potential consequences of this disorder when left untreated?
What are the best practices for screening and intervention for this disorder?
How has the diagnostic criterion for the disorder evolved over time (i.e., historical perspectives)? 
Note: Be sure to access the search strategies in the Walden library provided in this week’s Learning Resources to support your search for historical perspectives.
",Psychology,forensic,psychology,
"Plagiarism Prevention Tutorial,","Review the ""Academic Integrity"" and ""GCU Plagiarism Prevention Tutorial,"" located in the topic Resources. List three examples of plagiarism and discuss how plagiarizing as a student affects the integrity of a baccalaureate degree, the public perception of the nursing profession, and evidence-based practice. Describe two APA resources you will use to ensure academic integrity in your work.",Nursing,BSN,gcu,
Doctoral Nursing Assessment," What challenges to completion do you anticipate you will encounter in your doctoral program? What strategies for successful completion do you anticipate will be the most useful for you, and how will you work toward implementing these strategies to meet your goals?
",Nursing,APA,,
High Tolerance Due to Chronic Pain ," 
Directions:
Pain tolerance and perception is different in every individual. You will care for patients that have chronic pain issues and develop a high tolerance for pain medications. The patient rates his pain as a 8-9/10 but does not look like they are in pain!! How can you accurately assess these type of patients and what do you do if they ask for more pain medication?",Nursing,assessment,,
BA Students,   Please answer each question in a complete paragraph followed by a reference. Please respond to each question separately. All questions need to be answered in full complete sentences. Please only answer three questions per page  Please do not make the paragraph full of cited information the paragraphs must be at least 8 sentences long. only 3 questions per page answered.   ,Education,due,asap,
8-1D,"In organizational change, there is a debate in the literature about the benefits of proactive versus reactive change efforts. The task is to state why you believe the proactive side is more important than the other position and support the argument with at least three references from peer-reviewed literature using APA formatting. The argument should contain a conclusion and the reasons to accept the conclusion. 
Submission, 2 paragraphs",Management,Argument ,,
Discussion Response ," INSTRUCTIONS:
Read the article below and  Write a 250 to 300-word response. The reply must make a recommendation
of a peer reviewed journal article that provides additional information on the
topic. In your response, you should give a summary of the article in your own words and discuss
why it is relevant to the forum topic. It must be different than articles reference in the article below. Include an APA formatted in text citation and at the bottom of the reply.

Introduction
Self-control is a personality trait. Self-control failure results in the inability to resist self-control failure, temptations, and impulses. It also leads to issues such as education, savings, retirement, and obesity (Duckworth et al., 2019). In this situation, individuals exhibit suboptimal behaviors. Low self-control is an aspect of personality observed by peculiarities such as smoking. (Baumeister and Heatherton,1996; Ariely and Wertenbroch,2002). Self-control in response is a trait, not a state that can change in duration (Uhr et al.,2021). From the early years, humans could suppress one urge in favor of a goal-oriented rival appetite (Eisenberg, Smith, & Spinrad, 2011). Willpower describes ""this straightforward, brute-force approach to doing what is in one's best interest when an alluring alternative beckon"" (Mahoney & Thoresen, 1972). Self-control failures can happen at any age, although the ability to control impulses improves through adolescence and early adulthood (De Luca et al., 2003; Baumeister, Heatherton, and Tice, 1994). In economics, it was introduced through the dual-self model and self-controlled planner. According to this model, these models usually coexist in a conflicted state in the individual (Thaler and Shefrin,1981). Self-control explains undersaving and non-participation decisions (Uhr et al.,2021). The intent is to show that Self-control and self-control-failure determine the individual's financial beliefs and overall habits.
Current trends
People who practice self-control have healthier and wealthier lives. Self-control involves habits such as exercising, forgoing dessert, to saving for retirement. There is an ongoing battle going on among individuals. (Duckworth et al.,2018). Temptations and rewards often interfere with people setting long-term goals and trading them for short-term ones. It does not help that everything is so convenient for consumers ( Akst, 2011).In addition, self-control does not matter if people are mistaken about the advantages and disadvantages of their choices (Duckworth et al., 2018).
Self-control failure can cause factors such as overtrading. Self-control failure remains high regarding trading activity and the same for overconfidence, sensation seeking, attention-grabbing, gambling preferences, and other social contagions. Smokers, in addition, have more months with trades and higher trading values that they buy or sell (Uhr et al., 2021).In regard to savings, more smokers sought a savings device or plan. However, they did not maintain these plans (Uhr et al.,2021). Distortions often occur in these cases. In financial markets, savings distortions generate asset price distortions.
Moreover, disagreements affect aggregate investments. The investment levels should be reasonable, not unreasonable or distorted. The planner should have the ability to identify correct beliefs. However, there is a concept of distortion that respects a person's idea that determines an outcome is only viewed as distorted if all agents agree (Heyerdahl-Larsen and Walden,2022).
Undersaving or oversaving is also a problem regarding self-control and self-control failure. For example, the U.S. and China have a global account imbalance. This is what triggered the trade war between the two countries. The savings excess in China has caused a decrease in long-term interest rates and housing bubbles. The results of overspending in the U.S. can be easily seen. Decreasing discount rates help to explain how the young tend to undersave while those near retirement age oversave (Kureishi et al., 2021). So what can be done about these situations? Regarding the U. S. and China, it is recommended that restraining housing bubbles and interest rates is the solution, as well as replacing the U.S. dollar with a new world currency (Wan, 2021). Regarding other factors, it is suggested that psychological guidelines are implemented in the Economy to reduce self-control failures such as self-deployed and cognitive intervention (Duckworth et al.,2018).
Future trends
Future trends are essential to determine what direction a topic is progressing. There needs to be research that compares interventions from diverse traditions. The comparability to meta-analyses is another factor to explore, as well as comparisons of efficacy, scalability, and costs of different approaches to lessening self-control failures. Little is known about how interventions complement or substitute each other. More research is needed on how to gain the development of an executive function. Finally, the robustness, adequate size, and cost of interventions in review must be explored (Duckworth et al., 2018).
Studies in household finance could be a future study, and guidelines for restraining housing bubbles and interest rates could be explored(Kureishi et al.,2021; Wan, 2021). In addition, there could be future trading and investment exploration (Uhr et al., 2021). Moreover,guidelines regarding financial education, information sharing, and announcements could be a future exploration(Heyerdahl-Larsen and Walden,2022).
References
Duckworth, A. L., Milkman, K. L., & Laibson, D. (2018). Beyond willpower: Strategies for
reducing failures of self-control. Psychol Sci Public Interest, 19(3), 102-129.
doi:10.1177/1529100618821893
Heyerdahl-Larsen, C., & Walden.(2022).Distortions and efficiency in production economies with
heterogeneous beliefs, The Review of Financial Studies35(4)1775–
1812, https://doi.org/10.1093/rfs/hhab068Links to an external site.
Junmin Wan (2021) US-China trade war: Speculative saving perspective, 
The Chinese Economy, 54:2, 107-123, DOI: 10.1080/10971475.2020.1830230Links to an external site.
Kureishi, W., Paule-Paludkiewicz, H., Tsujiyama, H., & Wakabayashi, M. (2021). Time
Preferences over the life cycle and household saving puzzles. Journal of Monetary
Economics, 124, 123-

doi:10.1016/j.jmoneco.2021.10.004

Uhr, C., Meyer, S., & Hackethal, A. (2021). Smoking hot portfolios? trading behavior,
investment biases, and self-control failure. Journal of Empirical Finance, 63, 73-95.
doi:10.1016/j.jempfin.2021.05.006",Business & Finance,Response,business,Finance
Who can help me with this discussion post? Selection of Artifacts,"  
Discussion Post
Selection of Artifacts
Your e-portfolio is a way to gain your competitive advantage in the marketplace. Throughout the course, you will be editing previous coursework and uploading to your e-portfolio. In addition, you will create new artifacts (items that you want to showcase) to include in your e-portfolio.  Your e-portfolio should include a diverse collection of artifacts that represent you. Consider how you will use the e-portfolio after the completion of the course?   How will you use the final product to enhance your personal branding?
For the second part of our discussion this week, please answer the following questions.  Based on your reading and understanding, how would you describe an e-portfolio?  How do you develop one? What are signature assignments and how do you select the best one to include in your e-portfolio?  A list of the signature assignments is located in the resources area. Will you include videos and pictures? 
Be creative as there is not a right or wrong response.  Provide details of the artifacts you would like to include.  Consider what will be of value to the person reviewing the artifacts.  When you respond to your peers, consider artifacts they may not have included.
*Post must be a minimum of 250 words",Human Resource Management,AMU,MGMT,
Create Schedule,"Whether you’re a first-time university student or returning to school after taking a break, it is important to set aside time to study and engage in your learning. And with the flexibility and autonomy that comes with being an online student, it is critical to schedule time to regularly access the virtual classroom, interact with your peers and instructor, study the course materials, and stay on top of the due dates for discussions, projects, and assignments. 
As an online university student, you’ll encounter and receive advice on a variety of tools and tactics to help you succeed as a learner in the online classroom. For this activity, we’ll focus on three effective tactics to support learning: time management strategies, schedules, and note taking. First, you’ll read about ways to manage your time, ideas for creating a schedule, time management do's and don’ts, and note taking methods. Once you’ve finished the readings, you will devise a schedule. 
The tasks for completing this activity are as follows:  

Read Online Study Skills and Managing Time in the Unit 3 Learning Resources.
Read Developing Your Study Skills in the Unit 3 Learning Resources.
Download and complete the calendar template.

Using your syllabus for PACE 111 and any other class you are enrolled in this semester, create a schedule for the next four weeks.   
When you’re creating your schedule, remember to incorporate time for reading, coursework, and assignments as outlined in your syllabus. Also factor in time for dealing with daily life occurrences such as work, cleaning, childcare, and so on. Take the time to include details so that you don't forget any of your tasks.
You'll also want to list two or three concrete steps you can take to incorporate school more fully into your schedule. Try to get support from your partner, children, friends, your community, or professional services to take on some of your obligations outside of school, such as cooking or watching the kids. That way you will have more time in your schedule to devote to your studies. 
If you do not already keep a detailed schedule, you may use the attached calendar template to build on. If you do already keep a detailed schedule, you may provide a copy of that instead (be sure to include four full weeks and the concrete steps you'll take to incorporate school into your life). You may find Tips for Organizing Your Planner helpful.
",Marketing,HOME,WORK,
Business  Finance - Operations Management Assignment-,"Ethical and Legal Issues in Health Care 

Assignment Content
Please answer the following questions. Prepare you answers in a Word document, save it and submit
1. Describe how the roles of a nurse anesthetist, clinical nurse specialist, nurse practitioner, and nurse midwife differ.

2. Describe the various medication errors that can occur in the administration of medications.

3. If a nurse disagrees with a physician's written orders, discuss what action the nurse should take to protect the patient’s safety. What case law supports your recommendations?

 
150 words or more is required for each of the 3 assignment questions.
APA Format

 Required Textbook:Pozgar, G. (2021) “Legal and Ethical Essentials of Health Care Administration”, 3rdEdition, Burlington, MA: Jones & BartlettISBN: 978-1-284221794 or EBook: 978-1284055726 
Videos and sites
https://www.youtube.com/watch?v=tSwannzyJCE
https://www.ncsbn.org/policy-gov/npa-toolkit/npa.page
https://www.youtube.com/watch?v=aoRAnbmYLk4",Operations Management,healthcare,,
